CityID,X,Y
90803,2984896,3132988
95679,2938643,973609
164375,1137585,399209
156414,4455304,1024871
176556,4458782,489944
27079,3461292,126225
115129,3644291,2606873
23671,3140293,1688233
196842,2922760,1984546
23674,2296722,2328745
138337,1935078,1435416
97287,3453998,64734
93608,3839998,772317
119492,915204,1555772
91044,4563052,1655291
99129,2847589,2610841
153536,832632,1315126
83080,1456581,2897557
43833,3535516,1658140
175714,2843334,2580363
25970,711315,2132038
110047,2312342,556401
154258,1559742,949316
190039,2585948,29661
111605,3231488,1690125
108781,626501,3161917
193088,1145758,2869665
186009,2586018,258475
189902,3984015,1725231
171581,1963624,399966
184153,4523934,500329
133483,3431463,1522788
130318,4076193,2697305
112816,4974653,2869389
188691,4558774,964656
146878,1087484,3265785
129159,3795767,3011996
102883,4331476,2722656
134620,4902117,1872319
57455,2512179,3243081
99566,3222947,1649624
185095,255287,3323791
158523,4932634,2184180
104137,22459,2135765
97842,1638193,601316
10964,3128206,3378939
169685,2656606,1931976
101886,518407,3355867
113192,4947714,2764266
174121,845830,857665
182877,1813304,2041967
186162,4519236,2933143
40052,2963156,1606455
109261,588884,1426816
197327,2552660,1016525
124879,4614384,2781898
24039,696402,763651
83044,3414194,1797470
3474,4682197,2877843
75640,4815822,3315036
19769,4616808,1306014
102339,1952617,2225042
79400,3819672,960083
157241,4316208,511615
28586,3417546,1705177
32097,3557198,2087336
22280,2409299,1455285
5586,4890314,2868536
109675,155451,2694224
91748,4555251,1824512
13247,1330207,2031187
39458,31992,2693785
51257,1158137,282186
132926,1975101,448626
113584,4462203,701772
44577,3210075,3343716
154344,595421,3315965
62076,4997864,2429661
52200,960685,1086492
190178,2417204,2879430
132730,4377137,2408233
154975,2230942,1259224
99841,4617155,913246
35415,1075617,2739888
64384,4600168,635707
36789,2990000,2149334
68174,553155,2748264
18166,4901154,3041876
73959,1052220,1477989
99678,2667658,893197
171180,2654749,1722426
83993,2450893,3212122
99166,2128634,3310586
78839,4151342,1927865
196678,3752242,992035
131904,480796,3397100
22236,3568268,493205
136660,1991917,371637
156180,1638002,1940420
183582,5059461,3070812
69477,4380482,2993975
18794,186448,2936355
37601,2475084,1299261
112449,106254,2189117
41353,4884147,2411653
77421,3432058,2363423
131925,1854908,3046584
130114,3956503,1964583
103615,4804205,2349255
179216,4576889,2457659
90426,4937249,3206068
59554,1116948,2021473
87457,1197137,2788701
36596,3641790,2033798
46454,3134090,2306583
25473,4464860,1100372
169391,3530757,1554017
185685,1805334,1067057
59408,3157419,2659634
170024,4358886,2063455
166910,2329614,158562
8543,1995235,1147335
86578,2026513,1814990
102253,1674431,681303
137038,4700149,3308592
4251,5033255,2109339
78453,967987,2929791
71564,1718905,351743
29520,4553121,3066481
122867,2999575,2302
50261,3814998,1953414
84783,3780701,1132959
121123,4819793,2379833
149641,725999,3147060
57957,2081658,3396583
146606,1396768,1193560
58377,4895991,2464963
28010,633671,2566305
133635,712651,1607816
156252,2584332,1897331
106709,415980,2415792
169692,2981398,243376
180997,2715578,1343128
129414,4668107,2466575
151257,2957450,1696756
29028,115377,3185789
87914,2335153,1371095
137924,34900,2754636
139330,5033944,2745713
47468,3547130,2998569
155501,1340816,3061371
60075,2620755,1284437
181145,4481373,251668
125746,628349,1349568
7377,2659543,1181335
191575,4324605,3215374
61447,3568312,2968106
98107,4947056,3180445
173104,2970109,1838341
60245,4533094,1391143
40962,4531317,1796707
141488,1021214,979038
187923,3752894,2110496
92210,2158167,2581684
175327,3841062,800393
46493,779544,1180178
119169,3444453,330714
129705,875254,835286
19366,1437269,3238735
119017,4385132,439597
142946,1998210,3396441
26750,3811171,3182422
146377,2867274,2890231
11810,1232781,860585
53044,4457513,1230502
33100,4340796,558485
144556,1889810,1575730
155287,131101,2946654
194841,3258444,1638087
165399,2011817,1172013
48818,793779,1227299
71091,3971775,2879789
14369,2734382,1114513
138177,2713749,1929905
149929,4728161,2946060
10516,487550,3112490
44597,2190396,2247120
169270,2017477,2094226
24913,1580404,1957847
156010,2136878,3312989
80179,4034353,1967594
45793,457326,1067514
112018,3732447,2882653
184725,698539,972471
146117,4322426,1067255
86769,2809683,3062541
29537,4576548,824764
185000,2190622,2634265
168340,2660228,601038
142360,4856308,2022954
151199,264888,3351713
18944,1347038,2047235
186738,1353994,3341651
4481,1448107,3313981
16791,2596048,1055268
80507,5092532,1755493
81942,2157802,2520995
80220,3042352,122499
46379,3102364,3146129
193384,4835761,2590732
147865,4381063,1659112
23538,943783,1473826
2891,4321139,427580
119410,959446,718289
165772,1102187,2384153
81182,2694566,2364684
154296,611923,3109286
170123,1107972,3260610
65321,1238217,2468182
149802,760316,1390511
166537,4772561,1861091
171198,700138,1452033
