CityID,X,Y
53162,415534,2927579
113120,2520312,991485
112999,3237211,1100512
119524,1248920,74241
187603,3722167,1307226
35401,976561,2661904
163304,701549,2552965
60619,4960910,2913885
54383,4731767,3078102
21081,2561402,3152145
128920,714192,3223241
163051,4273053,2405570
151567,634031,3064052
15265,3169288,1913350
126590,2360399,380264
142990,1106978,3295546
11824,2306033,1674372
165186,4385518,1510822
100070,361850,2242279
62563,1041870,3250334
175980,2558225,1767231
58232,1314145,2068521
149109,2460156,1679999
22003,150099,2579980
100952,3190887,2643629
116932,864039,681130
188314,1526631,213054
93619,1739783,2985927
69456,1480216,2967354
169884,2803277,237849
166317,957251,2944961
123247,3766903,2476398
179200,3040790,3357542
14163,4314631,1089797
147830,238952,2812641
98517,4529807,2449936
153472,401392,1446766
181486,640236,2779257
43068,2562659,3216637
162870,2643042,1173826
127636,1082414,3303741
18332,2735930,792975
153608,2801144,2763213
76714,2798467,263971
43000,799713,2842570
124277,4648107,1219982
126678,4257009,157367
104493,3626482,899977
58809,2658639,851955
101993,819423,3173538
95793,1007951,3046875
178294,3534174,3236521
126681,2025356,1896149
44071,4027088,794762
64199,2683182,1526799
121485,2214044,451565
153925,1395111,3072383
23666,1887720,1425200
53792,4775669,2284653
55199,4361952,3391510
91316,2198518,1465752
23562,3027039,801550
75481,442268,3262967
122690,3526571,3278551
162069,1619493,3321528
77572,1075926,3280940
14687,4703165,2561701
99740,2954768,297614
116836,2913621,2704657
70947,1103276,2886685
38211,4783320,1841510
177395,1463470,1263911
139615,3525495,2242716
70934,3379318,69257
35014,2752439,2323104
46101,1095268,2878512
15048,3076971,899268
106201,2546189,1338947
19073,4507823,2001673
162579,2648766,1247377
173419,1488215,910452
121489,1590447,2136830
5321,4545873,546689
140668,2041999,446558
116893,2800573,3090884
17787,4501116,1747728
110766,5005314,1628548
122007,4385899,1059112
87479,1628362,2619321
23920,1087094,3173719
91419,2710950,818872
26523,1980988,569653
159872,4449829,1670524
57310,636297,1356094
14819,2838867,1728557
104756,2293574,3357484
119264,1997708,952132
128602,2345717,2036793
137423,1212041,489094
154576,1389268,1176996
153471,873910,3378598
153222,4427953,1680092
129298,3378293,980056
151694,898372,771744
79428,1660715,1486750
45109,465595,1087639
32199,4461359,1561485
8048,4656015,2234366
13605,1507593,905104
115103,2026818,540420
24382,213190,3027709
176578,1759610,3392315
167554,2310155,1191601
91006,4429482,216765
197494,3450390,1810462
74305,733368,3148539
79117,2448853,3078935
136282,3592871,762345
99485,1173939,1349324
64476,2758854,381634
79297,1658568,3157619
190806,2565014,201870
84173,4826304,3056609
18571,3410294,136590
99932,4551177,2058114
41484,4143544,2780688
159834,4660054,1541524
32494,778267,3321492
149064,5027464,2989302
189635,1237442,962487
185670,1384390,2338192
49744,4513007,1889434
9209,3616071,2771388
135545,445413,2560667
181457,907739,716242
159056,3375904,190848
15666,2912948,1276512
166168,245646,3342619
58136,2238818,1422104
84660,4831327,2181486
20289,4490372,561949
22682,853027,3362000
835,2760498,741657
64515,2596197,3087722
117189,1695428,3316130
72455,2480186,1481186
69287,3725776,1281447
79443,2710809,2825925
84499,4805079,1932359
124233,2237000,1382849
82679,1772623,3120298
26454,2278500,1277334
34829,4608271,1825435
184664,877164,3344281
48778,3965241,752832
139822,3879188,3095483
169335,4413857,1411327
116471,1914650,80096
185273,1762754,609038
118692,1127060,2125422
161179,4362801,533781
26459,3020845,2852959
39972,4466834,1007300
192549,2944082,2193730
156051,2550558,1458351
151005,2959056,1084149
93455,2515262,1205127
166729,473398,1147792
90069,3729953,788498
108892,2723801,496698
195917,845771,3270160
10293,1973608,589302
140441,855083,620869
45986,3650239,3058458
148754,2769514,1594248
33282,2753032,365449
191556,5036340,3282793
13572,3399168,622048
143289,81431,3110268
174737,4321334,2314476
182481,2651855,1491214
80717,2319922,1210965
86205,4495315,1685819
108340,4618287,1567645
59692,1216576,3078744
43192,1379307,3288024
118294,3104815,2544945
121029,1596562,2525591
31757,4853478,2761936
6760,1162650,466937
71269,4307189,500446
77967,4460334,116862
146800,2300334,1259475
110572,4953004,2845647
170785,3643396,1187999
60088,2786029,396213
54425,2788964,1407687
54892,2736552,1818432
154125,1236699,358692
137674,4436343,1346228
68913,3665653,1432185
182063,730350,767390
46803,761447,1129298
109795,491650,948412
129646,1572223,2970431
62690,1148808,2007867
36380,4471202,685882
86959,5038357,2989770
69212,1004370,2768308
117156,825452,2622683
