CityID,X,Y
131255,4527135,3003505
110296,4452380,2748374
40101,1541361,1341647
111692,4607318,508054
162821,3907848,705012
185275,1702752,2798159
75829,3158736,2551335
162024,588219,2423701
69928,1956854,1544978
65108,2040237,351080
174829,4446367,1774482
79752,3061350,2606202
115104,4399629,777730
38762,2254780,483828
111566,828686,2784516
180959,1269476,572884
37233,1804066,303835
110439,87240,3114802
122395,3458799,3368681
174480,3491025,260514
163894,825343,3373674
97237,2230261,1311517
30153,3989779,1930303
187138,750995,1063356
75353,4688301,1912409
14853,2264034,2534639
146608,4501143,3264977
153727,275289,2412394
20997,1664120,957595
179340,4202411,1885338
130863,4650767,3053950
12282,2576276,1436682
15374,2172013,1864932
52317,863284,540559
80763,410378,1503800
132876,4829919,2918616
115473,4267358,3142145
80224,3083253,260365
51493,4504916,1258597
1192,513230,2124803
105709,3156770,1133945
147272,1229082,2565426
109326,1934794,1496675
147630,4613145,576227
118651,2592345,370507
12925,610344,3086509
34744,3023131,1307198
134409,4011144,2563006
83427,909631,2348716
52306,242310,3359690
104334,4709309,2784486
149321,450036,2887832
38602,2895193,2657078
108721,823613,943233
28689,2315331,93653
74023,1363517,3356681
92428,4259933,2285707
81843,3581801,1973721
54331,4624939,2687171
3744,4507880,1182117
71946,3336783,3222354
121492,1337498,2310357
180377,2046734,2637894
191956,2428005,1444102
97643,1353474,3031433
113401,1561318,2832303
151031,810013,1367559
79244,2440068,1572697
179090,1234944,3200532
78817,4380001,1993254
157590,4275783,2902604
181075,528489,1943671
16719,4537795,226951
176253,2890858,1810413
146249,3507942,3088582
31498,2818112,337069
9566,4560063,809310
170895,4468949,210754
195346,634026,1977148
126831,934068,3164648
150283,697511,2336018
34380,2399410,1309711
180274,1700098,812225
92121,2297986,371164
164200,2843811,1613428
193252,2944528,2508463
65758,454220,1531858
104710,1715426,2737476
175886,3641010,581368
40488,3545983,2340860
52928,2640485,816749
134290,1870913,1989357
9008,4502043,2085546
162473,585293,1546103
55875,605346,993640
69669,4456288,88572
149970,720541,1108977
134925,4117157,2842522
90471,4620778,2586572
146273,2522275,948454
91186,2606508,2515931
165528,4459051,2258565
15109,3715604,2467335
25679,4404920,131668
96886,4536126,1785788
92315,411136,1129520
172798,3239319,1755530
99605,3078903,372101
164204,2793767,2577045
96147,2612779,550378
85794,1248901,1376475
61407,2055813,2695799
86098,3418559,11899
97579,2610877,1442986
137007,1748443,2162155
156424,3274486,1406736
158902,460018,2088871
162348,5097729,2073376
1953,3494386,1560671
45514,486252,3240752
101733,70259,3022801
184625,2044745,3007462
171460,1955370,471657
188849,2900265,482349
181424,4082213,3371276
165177,4796134,2665421
84774,43971,3088531
171399,308169,2943367
75480,1845465,3227720
174238,2309739,2646037
70046,2885840,1730436
164800,4474925,1755699
44550,3610094,2956159
5531,4404322,1487944
53615,521800,2958579
193940,3199444,1712450
9585,2963276,2430672
52986,876378,3242629
30965,4405591,2572374
57648,4023697,2062640
96372,2852834,2321200
159059,4415800,730553
189801,2954196,1710512
36764,3907302,2792686
113529,3617120,1725938
3338,4516040,2038
100167,3107302,2898299
121454,4514723,2589286
61049,2970125,476535
190997,2966621,1539214
183916,2801119,428894
152511,3700858,2706203
160416,4803670,1895692
105853,478864,3317251
155400,2687266,1470768
193544,1090062,3305095
161031,1123051,2331654
144259,3419111,70647
69658,649939,1579781
115782,4155805,2537617
24026,772880,2104665
196535,881946,843426
196280,3742717,2119159
182884,1338891,1231936
12764,3286324,2810028
85042,435556,2621397
103840,1764076,1303332
2063,3429736,367520
130039,2351500,1234056
90361,694028,3344312
147151,3624434,3161554
81280,3067611,1567699
119777,4427336,2303717
134648,2111328,538704
176705,4270355,3392679
43504,5023229,2421705
57641,4305297,733741
129351,640006,2561484
101707,303268,2404496
12061,2130195,8394
16101,2908366,1702656
59652,520674,2051541
92376,3158226,2027901
26220,1578668,3368168
109172,214663,2791869
14088,2898269,1022450
62179,2840217,460458
192931,2305723,1436921
26292,3380456,3364927
50352,2306384,1353171
113830,2890610,1084619
161917,2853188,2562572
20100,4532798,398546
1950,2878093,851509
191655,2346353,1487435
63396,3359710,2108568
85039,1068505,1606746
112654,4730391,2557399
167410,1040563,3236011
34066,128810,2733578
193179,4286457,1712
