CityID,X,Y
17722,2111205,1034310
82674,4271318,2248038
190545,4919863,2301262
50749,553395,1020472
165227,2586147,3216206
92553,903157,2744213
133614,4218842,3333848
172790,3391259,2995388
74572,2964309,965900
146061,5088093,2104845
49589,4494099,480362
106877,15401,2862308
98112,2591055,861902
62544,3568477,1530498
184937,393254,2863643
96117,2932165,507186
9569,2415598,135663
138574,401973,2077244
74659,2151343,1155582
34765,1321214,3134803
169557,1675094,182968
9357,929717,1518455
81750,4943390,1854229
96856,858145,468316
123760,4807454,3009835
29192,1707039,2749638
182352,1179552,3368732
79525,4152120,1799731
160354,192435,2888230
14015,2016052,23500
21041,2222216,2004321
141476,1068879,3279333
169587,292103,2910254
32561,4327157,2569758
34581,1866117,1255787
179290,4746178,3281473
8716,1045654,970022
21929,1777302,3239925
97693,1914852,2791431
92499,4278582,2096593
53707,990799,3020307
12526,2536685,1730218
86591,2513798,1045295
88185,4605613,802709
135300,4206180,2929344
174224,5030133,2219281
96148,1593888,2117569
72266,4401118,1736434
95522,4592558,1696847
84218,2724745,541225
135029,3530115,2605680
105107,3625500,2342158
140071,209183,3156654
145382,1241233,1042789
186239,3439144,1961144
113649,92015,2896984
24549,5023920,1579040
138714,3199928,1277904
97232,1824096,2667906
50259,4593214,1471712
6610,2522463,228459
154137,2857048,1573921
59148,3450863,1744387
46152,2787477,218987
23911,457431,1624842
56959,4463149,783411
193934,2387050,2685108
78209,1272009,2734704
43013,3012109,860653
106034,3749816,2723256
15378,4043903,3198797
76946,4385422,1368856
193851,835675,3053284
100796,2588373,1244668
52790,2335193,1500178
168307,2885625,1747181
112398,4268372,2673199
166182,2674105,3232741
145907,2401284,835638
91679,3632462,2923532
107983,1087378,2987354
70984,3023163,219680
138839,1170654,423792
99456,4044730,2348848
36838,2279941,591147
142263,3563469,2399105
116735,2289749,1313121
20554,2638254,1988875
10374,4341523,2220853
195022,4361141,1562665
188952,286413,2839372
34833,4506672,969601
182662,4761462,2821263
143112,2034523,3384207
177576,4822444,2144770
9627,4144252,1625033
94695,3346790,2239668
144017,2834810,498609
75823,640295,2294205
149271,4419216,1512224
120455,4475611,199237
16662,3374218,3090820
23726,4447793,3180029
168022,786947,3396589
116117,1161253,1237812
23937,1285083,961865
35249,4509915,3225422
47387,2676900,3223811
37258,294270,2882937
5874,4094934,2591158
97750,4536475,1969521
56350,1872486,3170385
185490,1775296,398257
32158,952833,3193553
74839,2028470,392306
160379,4288561,2439340
86336,77946,3244894
145125,2776039,407866
107498,2355556,1834559
117415,2860247,1544332
23362,3892496,1981957
16387,2899284,258143
152601,4305809,1660000
188461,4541231,2306726
101554,4479374,1995434
102562,2614346,1689897
20640,1340878,3318145
30745,2711556,987270
18732,2313655,1326832
96783,71350,2382615
44041,4956137,2252433
16481,673117,2699646
181714,4381647,1868443
158115,1209570,3389898
28792,853283,894022
179403,694755,2853793
105958,4373336,363624
180856,4324063,3053795
101960,1214080,3261822
61113,4656289,3038823
24895,3531979,3001560
45820,2651993,463319
10113,4366359,3237454
11002,4224732,2252199
85127,1923370,654772
20237,1103464,2330226
58178,1902373,3004986
108933,870596,394111
91878,3720599,3007224
30212,5048265,2505942
57549,997079,2680969
132770,4414809,2548616
193651,3101077,3133292
27502,795590,1043200
85286,1814872,3022818
56332,4212147,2858436
62710,903242,2599546
5681,3906248,2707510
94770,536452,3069992
61020,3899049,2741874
84402,4567974,2752575
30868,1961963,3311242
161758,2861236,1575948
182443,4621707,2692738
56365,3578141,2794135
4170,73058,1462941
196714,3004376,1013511
140097,757257,395630
103200,3929013,2378713
8038,2870991,1622008
69699,4485516,1850204
130871,1099231,1503831
151895,4956910,56195
142304,1518067,1226593
159023,742929,2423089
31025,2334044,1288734
126355,3534055,406380
67444,5000323,3339791
31941,4567428,2133996
159879,4974913,2847661
157570,4609603,2807380
138506,4447975,1266991
150840,2712230,1634479
136183,3019653,2804950
147386,2376244,1685260
65523,4764462,3388300
141450,2664086,1002062
168077,4524238,1562811
155559,1921391,1150457
112529,691997,1488406
124853,2521426,1331430
10455,291228,3308901
134505,2347508,932982
47021,4321336,177283
133369,429476,3389247
11313,209010,2338670
33564,2555367,1699702
114208,4987838,3332660
72398,4523359,3271677
127948,3441401,169227
189802,1674221,2195493
