CityID,X,Y
96021,2565892,1321627
98095,4181239,1642131
127968,190244,2534342
142180,2248424,131679
93311,669484,308119
150775,1672300,2081359
24418,2182803,179886
150115,1444112,941603
57863,1862021,1161675
186461,2020114,1410750
117633,2563797,463449
91435,219597,2241307
163035,1146133,594220
93024,1646422,935969
53823,2842231,1691293
31151,4804194,2357138
111720,4428361,847320
4230,4386364,43258
197565,2030655,2785573
176734,4311734,1085232
174002,1226477,2346638
35498,4502358,727928
143264,3687667,2280941
9549,4416609,2033395
14078,5047529,2535872
55530,2980918,1851303
30832,1211954,2753412
148468,2695938,1680976
46593,3099200,2211014
122742,967518,2210611
159198,3650452,2881705
144058,4476025,1562222
48343,1841400,3235475
85143,4741655,3013760
174916,3561167,2838248
170258,3561794,3083359
8431,594329,2615459
88134,4602462,1391815
2537,741978,988987
30711,2894366,668015
114095,3266928,2851456
59899,4694192,3177591
155591,5074227,2445245
3793,4365942,165256
182128,4364541,3005804
124381,4955353,2850746
22992,3897616,2714978
56424,926345,2859774
64623,2902319,1702909
149091,4133084,2198929
108177,4659941,2243674
113664,4425703,1274164
112693,656705,449193
81189,1869583,2847475
25374,2778078,273410
164757,3189819,1704836
59637,502832,2361473
8870,3970682,3312653
88060,2986913,612802
38007,5097048,2227438
113835,4441572,960417
78537,203225,3148173
8747,960543,1321576
95223,3336294,3356240
30080,3037305,2339304
86903,2503862,379524
16337,3133202,1549272
59244,1640697,1978707
98044,4573041,1506604
61876,3667007,832679
86259,654136,2555678
58252,434001,1219279
94224,4148673,2996533
95068,4584165,1465917
40688,4402220,423771
112054,4427791,2392999
13326,4452725,1458976
103155,4181279,3153391
107425,940004,3361075
137463,2772704,3298194
57730,1588749,2460285
93621,3755881,3373612
168621,1830197,2295392
135262,4468100,2079469
22143,1136874,1589850
180186,4845831,1848985
56923,1144825,2354108
50365,838190,2686673
183474,4601602,2893457
65767,4621411,2052394
62102,2734203,1013258
123060,1435286,1448633
147981,3334964,3250650
434,1697106,311689
4879,280340,3122355
47552,1403701,878069
184709,2636583,2399804
118579,1213513,3381855
54424,3974073,3288154
110415,4161613,1510261
196353,2300363,1363192
162276,2010148,2766265
166135,2143477,2143643
129869,3831353,1989166
165115,3909892,2698801
103387,4288915,124370
91271,612147,1111039
161224,2009072,61599
133531,4432268,2170928
38611,3125571,839193
53322,1433367,1471420
65418,4445267,1010359
138269,4977312,2890626
66817,4606015,2744492
70606,4317005,573294
64023,1545401,919277
138667,1694283,1240640
147978,4936133,1929705
111142,4476348,473573
165624,116738,2173268
110810,1035863,1007678
78692,476856,3379767
41388,1181064,2464095
150932,3292069,3189380
78549,2938984,685140
64160,3292421,3168630
132497,1144181,2826375
12332,3516945,759652
137212,1864040,3001171
96573,3121449,1007924
64220,1774442,2530039
147762,3676508,3359792
37812,2796092,2495213
148638,4131334,2729355
125043,1689834,1245467
165493,4761929,1967192
151557,4148230,3369001
167815,587560,1612709
12209,3899126,3163643
192989,2120126,2617999
145608,3693899,1802409
158123,787333,3216481
180302,1261827,2937722
120665,3733013,3135927
100912,3258586,1396097
43201,1338020,2842001
72613,2808478,1913728
8221,652530,823633
144701,4253983,177793
111478,3039399,1595313
157046,2965203,1692926
100663,893210,3188579
144210,1241412,2353433
163344,3457327,420727
41502,2507028,1430457
173674,4391610,1731674
12576,2708748,2722835
139191,744247,1413903
111149,4011342,2030736
49016,2775309,144586
51986,4559328,98988
115291,4499816,297598
130321,3008106,1039730
156734,4575365,2742014
27590,1751337,557619
185593,453577,2627860
116848,1657781,3270937
50635,1895110,2195341
40913,1356438,1166540
108120,3760170,2088079
176810,3532974,2972134
144509,4770495,2664866
60861,4867666,2348708
42763,661775,2276642
72328,4521222,690011
89805,2676030,1717877
197584,4635634,2017385
97063,449662,1093556
56692,4468823,941325
145870,1919917,14365
102221,1147023,1240941
48044,2255303,129201
125848,2425130,1020552
132258,1640192,2045114
432,1080245,1180404
151021,973569,2983818
71827,3372022,3153705
106744,910858,3243253
92247,3664432,3080067
195927,2994104,825067
175911,4249194,254432
130969,442417,2900539
184620,4454308,1552349
130185,4617293,1460045
132371,2761006,3129804
121385,3068840,779276
53514,3037944,660079
187652,4878191,2018836
194971,4557750,191492
58285,3938085,2127978
164138,4355546,1770356
38766,4836504,1887782
58897,4385321,2251408
130636,695747,2251812
32745,2619836,3395078
103488,4430186,1226
103209,4864174,2360316
29450,2107204,183890
148093,4999257,2663880
3296,2845400,3327575
116755,1812861,2776720
181180,3409009,1809894
167107,4600049,2668324
159637,2853652,802548
195533,4487265,1091313
26734,4392302,993902
191864,4437004,2539158
13715,118459,3068265
164648,2496877,728032
18947,4570979,3237562
127214,1102728,1251035
126785,2985370,1904875
102783,631501,1360549
21154,4519100,713135
180483,5097818,2834795
11448,2315515,2254102
168186,270300,2083518
99001,4646781,3218252
86082,4480191,895892
29019,2892845,2895680
129175,3785830,3199598
20062,5079001,3159146
175777,4452056,1613847
110752,2505040,2680246
171953,1785785,867616
146653,1378977,1267868
154987,3107502,2881099
128855,1615189,604674
186885,849905,450560
160770,2542777,708625
182979,4869814,2327391
14136,1778090,1253470
76068,79910,2425238
20343,2462118,2789289
37411,471155,2737077
145816,4137901,3085303
22493,4813457,2798543
113157,40881,3228634
137951,2736843,1730495
193530,3604470,3089753
48936,429137,1531537
195639,1020144,835157
145731,3535540,2413686
181539,1230145,3275521
52,4466297,1528349
108589,3846409,2812483
45469,1916293,2389309
164092,1154411,2494216
173099,4170113,2241875
93099,4545229,1344508
40153,3812595,573953
145862,870832,2579410
86448,1050912,2278652
9550,2132361,955455
66842,4984513,1841911
131822,2040990,2832746
3044,3120045,1892994
98682,4542102,573685
145372,869174,818824
174292,4642359,3322828
17127,416123,1574995
190879,2929475,2225044
10182,4250966,1898231
147082,895083,1121736
98582,4543526,1869263
162190,175760,2444761
66035,4552734,837384
164142,4017695,2699170
162469,4502905,1661562
68406,4588008,2461431
165620,3531229,2669465
41912,1127224,1210821
129161,2419269,1387995
18879,621346,1303098
169148,3836714,499546
192944,3938687,2710553
98768,2174621,2568837
184722,2432879,428256
117413,13621,2141756
120457,2260055,607580
83892,1120120,2057372
4635,125674,3108741
187068,14406,2068862
185642,716290,733556
138495,2680058,1563616
114156,2939306,756952
38760,2277541,1413723
7914,457336,1187147
139935,2629723,2365553
76607,3451916,1676667
99202,1016680,3177999
178537,3571718,1048023
100317,4482129,2185067
97652,4200777,2670508
4559,1341050,3167256
44527,482148,2752082
163616,4177071,2483739
49988,2036994,530344
153997,4328303,2189509
162558,3410283,3087986
89267,1755224,1301792
10757,1327655,3369403
61833,4439290,1937262
55668,3045776,413817
26305,1273433,2682811
86067,2972144,3355453
126178,4653764,2978179
127083,2431548,2503876
118319,3552346,484900
172507,51178,2849440
125332,4220850,2913572
174967,4348980,1799198
178299,2675776,808590
137188,1095666,2457749
187451,4863713,3205407
61908,4883087,2867701
155211,3830230,3343575
165108,385888,1561871
144835,2948909,1645685
54688,2903219,1665296
78483,4699045,2838884
110416,2756151,19681
32833,4625123,1758816
120697,2745820,170245
26147,2453301,2326886
53821,2439285,519782
63132,1961929,2669646
79180,3620180,2382378
127103,3442656,948842
45269,4764151,3204795
